"SAMPLE_NUMBER","LOGIN_DATE","LOGIN_DATE","REPORTABLE","ANALYSIS","REPORTED_NAME","REPORTED_UNITS","ENTRY","REPLICATE_COUNT","PRODUCT","CUSTOMER","IN_SPEC","PRODUCT_GRADE","SAMPLE_NAME","NAME","SAMPLING_POINT"
"6954216","01/01/2015 01:06:04 PM","01/01/2015 01:06:04 PM","T","IODI010493","Iodine","UG_P_100G","155","1","PDR_INFANT","MG80","T","MG3669","7223392","IODI01-15-0003","MG"
"6954682","02/01/2015 06:12:05 AM","02/01/2015 06:12:05 AM","T","IODI010493","Iodine","UG_P_100G","102","1","QC","","T","SRM","SRM","IODI01-15-0001","IRM001A"
"6954684","02/01/2015 06:13:21 AM","02/01/2015 06:13:21 AM","T","IODI010493","Iodine","UG_P_100G","169","1","QC","","T","SRM","SRM","IODI01-15-0001","SRM38E"
"6954929","02/01/2015 07:52:37 AM","02/01/2015 07:52:37 AM","T","IODI010493","Iodine","UG_P_100G","130","1","QC","","T","SRM","SRM","IODI01-15-0002","IRM001A"
"6955944","02/01/2015 12:13:34 PM","02/01/2015 12:13:34 PM","T","IODI010493","Iodine","UG_P_100G","55","1","PDR_INFANT","MG80","T","MG3740","7224314","IODI01-15-0003","MG"
"6956190","02/01/2015 01:14:13 PM","02/01/2015 01:14:13 PM","T","IODI010493","Iodine","UG_P_100G","206","1","QC","","T","SRM","SRM","IODI01-15-0002","SRM38E"
"6956774","02/01/2015 06:40:19 PM","02/01/2015 06:40:19 PM","T","IODI010493","Iodine","UG_P_100G","19","1","WHEY","621","T","TM9005","2014231097","IODI01-15-0003","TMI"
"6958020","03/01/2015 05:10:13 PM","03/01/2015 05:10:13 PM","T","IODI010493","Iodine","UG_P_100G","22","1","LIQ_MILK","621","T","TM9003","2014231094","IODI01-15-0003","TMI"
"6958021","03/01/2015 05:10:49 PM","03/01/2015 05:10:49 PM","T","IODI010493","Iodine","UG_P_100G","20","1","LIQ_MILK","621","T","TM9004","2014231096","IODI01-15-0003","TMI"
"6959772","05/01/2015 09:15:01 AM","05/01/2015 09:15:01 AM","T","IODI010493","Iodine","UG_P_100G","250","1","PDR_WPC","MG20","T","MG2412","7226432","IODI01-15-0004","MG"
"6960291","05/01/2015 11:28:40 AM","05/01/2015 11:28:40 AM","T","IODI010493","Iodine","UG_P_100G","109","1","QC","","T","SRM","SRM","IODI01-15-0003","IRM001A"
"6960292","05/01/2015 11:29:29 AM","05/01/2015 11:29:29 AM","T","IODI010493","Iodine","UG_P_100G","181","1","QC","","T","SRM","SRM","IODI01-15-0003","SRM38E"
"6961110","05/01/2015 12:00:00 AM","05/01/2015 12:00:00 AM","T","IODI010493","Iodine","UG_P_100G","115","1","PDR_INFANT","621","T","TM448310","2015003868","IODI01-15-0004","TMI"
"6961511","05/01/2015 05:15:10 PM","05/01/2015 05:15:10 PM","T","IODI010493","Iodine","UG_P_100G","160","1","PDR_INFANT","MG80","T","MG3669","7227091","IODI01-15-0004","MG"
"6961515","05/01/2015 05:17:06 PM","05/01/2015 05:17:06 PM","T","IODI010493","Iodine","UG_P_100G","155","1","PDR_INFANT","MG80","T","MG3669","7227092","IODI01-15-0004","MG"
"6961520","05/01/2015 05:19:02 PM","05/01/2015 05:19:02 PM","T","IODI010493","Iodine","UG_P_100G","165","1","PDR_INFANT","MG80","T","MG3669","7227093","IODI01-15-0004","MG"
"6961619","05/01/2015 12:00:00 AM","05/01/2015 12:00:00 AM","T","IODI010493","Iodine","UG_P_100G","110","1","PDR_INFANT","621","T","TM448311","2015004059","IODI01-15-0004","TMI"
"6962333","06/01/2015 08:40:26 AM","06/01/2015 08:40:26 AM","T","IODI010493","Iodine","UG_P_100G","270","1","PDR_WPC","MG20","T","MG2412","7227340","IODI01-15-0004","MG"
"6962582","06/01/2015 09:12:42 AM","06/01/2015 09:12:42 AM","T","IODI010493","Iodine","UG_P_100G","160","1","PDR_INFANT","MG80","T","MG3669","7227520","IODI01-15-0004","MG"
"6962593","06/01/2015 09:14:41 AM","06/01/2015 09:14:41 AM","T","IODI010493","Iodine","UG_P_100G","155","1","PDR_INFANT","MG80","T","MG3669","7227521","IODI01-15-0004","MG"
"6962599","06/01/2015 09:16:36 AM","06/01/2015 09:16:36 AM","T","IODI010493","Iodine","UG_P_100G","150","1","PDR_INFANT","MG80","T","MG3669","7227522","IODI01-15-0004","MG"
"6962952","06/01/2015 12:00:00 AM","06/01/2015 12:00:00 AM","T","IODI010493","Iodine","UG_P_100G","105","1","PDR_INFANT","621","T","TM448312","2015004121","IODI01-15-0004","TMI"
"6965084","06/01/2015 04:12:39 PM","06/01/2015 04:12:39 PM","T","IODI010493","Iodine","UG_P_100G","130","1","PDR_INFANT","MG80","T","MG3729","7228028","IODI01-15-0004","MG"
"6965776","07/01/2015 05:40:18 AM","07/01/2015 05:40:18 AM","T","IODI010493","Iodine","UG_P_100G","230","1","PDR_WPC","MG20","T","MG2412","7228138","IODI01-15-0005","MG"
"6965894","07/01/2015 06:45:42 AM","07/01/2015 06:45:42 AM","T","IODI010493","Iodine","UG_P_100G","150","1","PDR_INFANT","MG80","T","MG3669","7228183","IODI01-15-0005","MG"
"6965898","07/01/2015 06:47:37 AM","07/01/2015 06:47:37 AM","T","IODI010493","Iodine","UG_P_100G","145","1","PDR_INFANT","MG80","T","MG3669","7228184","IODI01-15-0005","MG"
"6965904","07/01/2015 06:49:32 AM","07/01/2015 06:49:32 AM","T","IODI010493","Iodine","UG_P_100G","150","1","PDR_INFANT","MG80","T","MG3669","7228185","IODI01-15-0005","MG"
"6966384","07/01/2015 09:11:03 AM","07/01/2015 09:11:03 AM","T","IODI010493","Iodine","UG_P_100G","15","1","FATS_OILS","MG10","T","MG9113","7228270","IODI01-15-0005","MG"
"6966384","07/01/2015 09:11:03 AM","07/01/2015 09:11:03 AM","T","IODI010493","Iodine","UG_P_100G","30","2","FATS_OILS","MG10","T","MG9113","7228270","IODI01-15-0008","MG"
"6966384","07/01/2015 09:11:03 AM","07/01/2015 09:11:03 AM","T","IODI010493","Iodine","UG_P_100G","10","3","FATS_OILS","MG10","T","MG9113","7228270","IODI01-15-0009","MG"
"6967040","07/01/2015 10:40:07 AM","07/01/2015 10:40:07 AM","T","IODI010493","Iodine","UG_P_100G","105","1","PDR_INFANT","621","T","TM448266","2015004783","IODI01-15-0004","TMI"
"6967073","07/01/2015 10:43:50 AM","07/01/2015 10:43:50 AM","T","IODI010493","Iodine","UG_P_100G","110","1","PDR_INFANT","621","T","TM445270","2015004503","IODI01-15-0004","TMI"
"6967129","07/01/2015 10:47:09 AM","07/01/2015 10:47:09 AM","T","IODI010493","Iodine","UG_P_100G","110","1","PDR_INFANT","621","T","TM446151","2015004681","IODI01-15-0004","TMI"
"6967724","07/01/2015 12:14:20 PM","07/01/2015 12:14:20 PM","T","IODI010493","Iodine","UG_P_100G","175","1","PDR_INFANT","MG80","T","MG3669","7228687","IODI01-15-0005","MG"
"6967734","07/01/2015 12:16:48 PM","07/01/2015 12:16:48 PM","T","IODI010493","Iodine","UG_P_100G","165","1","PDR_INFANT","MG80","T","MG3669","7228692","IODI01-15-0005","MG"
"6967744","07/01/2015 12:18:45 PM","07/01/2015 12:18:45 PM","T","IODI010493","Iodine","UG_P_100G","155","1","PDR_INFANT","MG80","T","MG3669","7228693","IODI01-15-0005","MG"
"6970377","08/01/2015 09:11:46 AM","08/01/2015 09:11:46 AM","T","IODI010493","Iodine","UG_P_100G","110","1","PDR_INFANT","621","T","TM445270","2015005001","IODI01-15-0005","TMI"
"6970463","08/01/2015 09:21:05 AM","08/01/2015 09:21:05 AM","T","IODI010493","Iodine","UG_P_100G","175","1","PDR_INFANT","MG80","T","MG3669","7229377","IODI01-15-0007","MG"
"6970473","08/01/2015 09:23:03 AM","08/01/2015 09:23:03 AM","T","IODI010493","Iodine","UG_P_100G","160","1","PDR_INFANT","MG80","T","MG3669","7229378","IODI01-15-0007","MG"
"6970501","08/01/2015 09:24:57 AM","08/01/2015 09:24:57 AM","T","IODI010493","Iodine","UG_P_100G","175","1","PDR_INFANT","MG80","T","MG3669","7229379","IODI01-15-0007","MG"
"6972197","08/01/2015 01:11:57 PM","08/01/2015 01:11:57 PM","T","IODI010493","Iodine","UG_P_100G","210","1","PDR_INFANT","MG80","F","MG3669","7229948","IODI01-15-0007","MG"
"6972199","08/01/2015 01:12:01 PM","08/01/2015 01:12:01 PM","T","IODI010493","Iodine","UG_P_100G","175","1","PDR_INFANT","MG80","T","MG3669","7229949","IODI01-15-0007","MG"
"6973092","08/01/2015 04:40:22 PM","08/01/2015 04:40:22 PM","T","IODI010493","Iodine","UG_P_100G","160","1","PDR_SMP","MG60","T","MG4637","7229990","IODI01-15-0008","MG"
"6973107","08/01/2015 04:42:53 PM","08/01/2015 04:42:53 PM","T","IODI010493","Iodine","UG_P_100G","165","1","PDR_SMP","MG60","T","MG4637","7229992","IODI01-15-0008","MG"
"6973395","08/01/2015 05:06:13 PM","08/01/2015 05:06:13 PM","T","IODI010493","Iodine","UG_P_100G","119","1","QC","","T","SRM","SRM","IODI01-15-0004","IRM001A"
"6973421","08/01/2015 05:08:08 PM","08/01/2015 05:08:08 PM","T","IODI010493","Iodine","UG_P_100G","176","1","QC","","T","SRM","SRM","IODI01-15-0004","SRM38E"
"6973864","09/01/2015 05:42:11 AM","09/01/2015 05:42:11 AM","T","IODI010493","Iodine","UG_P_100G","155","1","PDR_INFANT","MG80","T","MG3669","7230481","IODI01-15-0007","MG"
"6973868","09/01/2015 05:44:09 AM","09/01/2015 05:44:09 AM","T","IODI010493","Iodine","UG_P_100G","155","1","PDR_INFANT","MG80","T","MG3669","7230482","IODI01-15-0007","MG"
"6973872","09/01/2015 05:46:04 AM","09/01/2015 05:46:04 AM","T","IODI010493","Iodine","UG_P_100G","155","1","PDR_INFANT","MG80","T","MG3669","7230483","IODI01-15-0007","MG"
"6974111","09/01/2015 06:59:24 AM","09/01/2015 06:59:24 AM","T","IODI010493","Iodine","UG_P_100G","96","1","QC","","T","SRM","SRM","IODI01-15-0005","IRM001A"
"6974116","09/01/2015 07:00:27 AM","09/01/2015 07:00:27 AM","T","IODI010493","Iodine","UG_P_100G","176","1","QC","","T","SRM","SRM","IODI01-15-0005","SRM38E"
"6974126","09/01/2015 07:08:16 AM","09/01/2015 07:08:16 AM","T","IODI010493","Iodine","UG_P_100G","65","1","PET_FOOD","PETBRAND","T","WET PETFD","","IODI01-15-0006","PETBRAND"
"6974139","09/01/2015 07:12:52 AM","09/01/2015 07:12:52 AM","T","IODI010493","Iodine","UG_P_100G","90","1","PET_FOOD","PETBRAND","T","WET PETFD","","IODI01-15-0006","PETBRAND"
"6974146","09/01/2015 07:13:18 AM","09/01/2015 07:13:18 AM","T","IODI010493","Iodine","UG_P_100G","85","1","PET_FOOD","PETBRAND","T","WET PETFD","","IODI01-15-0006","PETBRAND"
"6974153","09/01/2015 07:13:36 AM","09/01/2015 07:13:36 AM","T","IODI010493","Iodine","UG_P_100G","85","1","PET_FOOD","PETBRAND","T","WET PETFD","","IODI01-15-0006","PETBRAND"
"6974177","09/01/2015 07:33:06 AM","09/01/2015 07:33:06 AM","T","IODI010493","Iodine","UG_P_100G","40","1","PET_FOOD","PETBRAND","T","WET PETFD","","IODI01-15-0006","PETBRAND"
"6974184","09/01/2015 07:33:55 AM","09/01/2015 07:33:55 AM","T","IODI010493","Iodine","UG_P_100G","40","1","PET_FOOD","PETBRAND","T","WET PETFD","","IODI01-15-0006","PETBRAND"
"6974191","09/01/2015 07:34:50 AM","09/01/2015 07:34:50 AM","T","IODI010493","Iodine","UG_P_100G","35","1","PET_FOOD","PETBRAND","T","WET PETFD","","IODI01-15-0006","PETBRAND"
"6975344","09/01/2015 12:00:00 AM","09/01/2015 12:00:00 AM","T","IODI010493","Iodine","UG_P_100G","120","1","PDR_INFANT","621","T","TM445270","2015005906","IODI01-15-0007","TMI"
"6975958","09/01/2015 12:44:21 PM","09/01/2015 12:44:21 PM","T","IODI010493","Iodine","UG_P_100G","145","1","PDR_INFANT","MG80","T","MG3669","7230932","IODI01-15-0007","MG"
"6975964","09/01/2015 12:46:34 PM","09/01/2015 12:46:34 PM","T","IODI010493","Iodine","UG_P_100G","180","1","PDR_INFANT","MG80","T","MG3669","7230933","IODI01-15-0007","MG"
"6975978","09/01/2015 12:48:38 PM","09/01/2015 12:48:38 PM","T","IODI010493","Iodine","UG_P_100G","180","1","PDR_INFANT","MG80","T","MG3669","7230934","IODI01-15-0007","MG"
"6976371","09/01/2015 02:10:10 PM","09/01/2015 02:10:10 PM","T","IODI010493","Iodine","UG_P_100G","170","1","PDR_SMP","MG60","T","MG4637","7230951","IODI01-15-0008","MG"
"6976649","09/01/2015 02:53:06 PM","09/01/2015 02:53:06 PM","T","IODI010493","Iodine","UG_P_100G","155","1","PDR_INFANT","MG80","T","MG3669","7230998","IODI01-15-0008","MG"
"6976650","09/01/2015 02:53:11 PM","09/01/2015 02:53:11 PM","T","IODI010493","Iodine","UG_P_100G","140","1","PDR_INFANT","MG80","T","MG3669","7230999","IODI01-15-0008","MG"
"6976651","09/01/2015 02:53:15 PM","09/01/2015 02:53:15 PM","T","IODI010493","Iodine","UG_P_100G","165","1","PDR_INFANT","MG80","T","MG3669","7231000","IODI01-15-0008","MG"
"6976652","09/01/2015 02:53:19 PM","09/01/2015 02:53:19 PM","T","IODI010493","Iodine","UG_P_100G","165","1","PDR_INFANT","MG80","T","MG3669","7231001","IODI01-15-0008","MG"
"6976653","09/01/2015 02:53:23 PM","09/01/2015 02:53:23 PM","T","IODI010493","Iodine","UG_P_100G","155","1","PDR_INFANT","MG80","T","MG3669","7231002","IODI01-15-0008","MG"
"6976654","09/01/2015 02:53:28 PM","09/01/2015 02:53:28 PM","T","IODI010493","Iodine","UG_P_100G","165","1","PDR_INFANT","MG80","T","MG3669","7231003","IODI01-15-0008","MG"
"6976655","09/01/2015 02:53:32 PM","09/01/2015 02:53:32 PM","T","IODI010493","Iodine","UG_P_100G","175","1","PDR_INFANT","MG80","T","MG3669","7231004","IODI01-15-0008","MG"
"6976656","09/01/2015 02:53:36 PM","09/01/2015 02:53:36 PM","T","IODI010493","Iodine","UG_P_100G","170","1","PDR_INFANT","MG80","T","MG3669","7231005","IODI01-15-0008","MG"
"6976788","09/01/2015 03:02:57 PM","09/01/2015 03:02:57 PM","T","IODI010493","Iodine","UG_P_100G","140","1","QC","","T","SRM","SRM","IODI01-15-0006","IRM001A"
"6976789","09/01/2015 03:03:37 PM","09/01/2015 03:03:37 PM","T","IODI010493","Iodine","UG_P_100G","175","1","QC","","T","SRM","SRM","IODI01-15-0006","SRM38E"
"6977424","09/01/2015 05:10:11 PM","09/01/2015 05:10:11 PM","T","IODI010493","Iodine","UG_P_100G","20","1","LIQ_MILK","621","T","TM9004","2015004846","IODI01-15-0007","TMI"
"6977425","09/01/2015 05:10:15 PM","09/01/2015 05:10:15 PM","T","IODI010493","Iodine","UG_P_100G","27","1","LIQ_MILK","621","T","TM9003","2015004847","IODI01-15-0007","TMI"
"6979414","10/01/2015 08:08:45 PM","10/01/2015 08:08:45 PM","T","IODI010493","Iodine","UG_P_100G","145","1","PDR_INFANT","T10","T","1253200","DTS0501425","IODI01-15-0007","T10"
"6980872","12/01/2015 08:11:39 AM","12/01/2015 08:11:39 AM","T","IODI010493","Iodine","UG_P_100G","121","1","QC","","T","SRM","SRM","IODI01-15-0007","IRM001A"
"6980879","12/01/2015 08:13:10 AM","12/01/2015 08:13:10 AM","T","IODI010493","Iodine","UG_P_100G","163","1","QC","","F","SRM","SRM","IODI01-15-0007","SRM38E"
"6981104","12/01/2015 09:40:11 AM","12/01/2015 09:40:11 AM","T","IODI010493","Iodine","UG_P_100G","130","1","PDR_INFANT","621","T","TM445270","2015006945","IODI01-15-0008","TMI"
"6981955","12/01/2015 11:52:03 AM","12/01/2015 11:52:03 AM","T","IODI010493","Iodine","UG_P_100G","155","1","PDR_MISC","BONDEP","T","EAP00529","000800344317-0010","IODI01-15-0008","FA"
"6985016","13/01/2015 10:49:45 AM","13/01/2015 10:49:45 AM","T","IODI010493","Iodine","UG_P_100G","165","1","PDR_INFANT","MG80","T","MG3669","7234153","IODI01-15-0009","MG"
"6985027","13/01/2015 10:51:43 AM","13/01/2015 10:51:43 AM","T","IODI010493","Iodine","UG_P_100G","185","1","PDR_INFANT","MG80","T","MG3669","7234154","IODI01-15-0009","MG"
"6985049","13/01/2015 10:53:48 AM","13/01/2015 10:53:48 AM","T","IODI010493","Iodine","UG_P_100G","175","1","PDR_INFANT","MG80","T","MG3669","7234155","IODI01-15-0009","MG"
"6985583","13/01/2015 11:41:55 AM","13/01/2015 11:41:55 AM","T","IODI010493","Iodine","UG_P_100G","130","1","PDR_INFANT","621","T","TM445270","2015008654","IODI01-15-0008","TMI"
"6986570","13/01/2015 02:16:21 PM","13/01/2015 02:16:21 PM","T","IODI010493","Iodine","UG_P_100G","145","1","PDR_SMP","MG60","T","MG4637","7234733","IODI01-15-0009","MG"
"6988612","14/01/2015 12:00:00 AM","14/01/2015 12:00:00 AM","T","IODI010493","Iodine","UG_P_100G","115","1","PDR_INFANT","621","T","TM445270","2015009249","IODI01-15-0009","TMI"
"6990926","14/01/2015 03:09:56 PM","14/01/2015 03:09:56 PM","T","IODI010493","Iodine","UG_P_100G","126","1","QC","","T","SRM","SRM","IODI01-15-0008","IRM001A"
"6990930","14/01/2015 03:10:42 PM","14/01/2015 03:10:42 PM","T","IODI010493","Iodine","UG_P_100G","217","1","QC","","T","SRM","SRM","IODI01-15-0008","SRM38E"
"6992866","15/01/2015 11:13:26 AM","15/01/2015 11:13:26 AM","T","IODI010493","Iodine","UG_P_100G","115","1","PDR_INFANT","621","T","TM445270","2015009763","IODI01-15-0009","TMI"
"6993762","15/01/2015 12:32:52 PM","15/01/2015 12:32:52 PM","T","IODI010493","Iodine","UG_P_100G","130","1","PDR_SMP","MG60","T","MG4637","7236567","IODI01-15-0009","MG"
"6993938","15/01/2015 12:46:03 PM","15/01/2015 12:46:03 PM","T","IODI010493","Iodine","UG_P_100G","70","1","PDR_INFANT","MG80","T","MG3663","7236611","IODI01-15-0009","MG"
"6995383","15/01/2015 04:45:17 PM","15/01/2015 04:45:17 PM","T","IODI010493","Iodine","UG_P_100G","175","1","PDR_SMP","MG60","T","MG4637","7236876","IODI01-15-0009","MG"
"6996195","16/01/2015 07:25:13 AM","16/01/2015 07:25:13 AM","T","IODI010493","Iodine","UG_P_100G","3","1","SOY_PROD","V17","T","SOYMILK","","IODI01-15-0009","VITASOY"
"6997419","16/01/2015 10:47:19 AM","16/01/2015 10:47:19 AM","T","IODI010493","Iodine","UG_P_100G","190","1","PDR_SMP","MG60","T","MG4637","7237488","IODI01-15-0009","MG"
"6999198","16/01/2015 12:00:00 AM","16/01/2015 12:00:00 AM","T","IODI010493","Iodine","UG_P_100G","25","1","LIQ_MILK","621","T","TM9004","2015009670","IODI01-15-0009","TMI"
"6999199","16/01/2015 12:00:00 AM","16/01/2015 12:00:00 AM","T","IODI010493","Iodine","UG_P_100G","21","1","LIQ_MILK","621","T","TM9003","2015009671","IODI01-15-0009","TMI"
"7002501","18/01/2015 12:15:41 PM","18/01/2015 12:15:41 PM","T","IODI010493","Iodine","UG_P_100G","155","1","PDR_SMP","MG60","T","MG4637","7239183","IODI01-15-0010","MG"
"7003306","19/01/2015 12:00:00 AM","19/01/2015 12:00:00 AM","T","IODI010493","Iodine","UG_P_100G","110","1","PDR_INFANT","621","T","TM448277","2015012215","IODI01-15-0010","TMI"
"7004675","19/01/2015 12:55:49 PM","19/01/2015 12:55:49 PM","T","IODI010493","Iodine","UG_P_100G","137","1","QC","","T","SRM","SRM","IODI01-15-0009","IRM001A"
"7004734","19/01/2015 01:07:12 PM","19/01/2015 01:07:12 PM","T","IODI010493","Iodine","UG_P_100G","204","1","QC","","T","SRM","SRM","IODI01-15-0009","SRM38E"
"7005194","19/01/2015 02:33:36 PM","19/01/2015 02:33:36 PM","T","IODI010493","Iodine","UG_P_100G","155","1","PDR_SMP","MG60","T","MG4637","7239701","IODI01-15-0010","MG"
"7005714","19/01/2015 03:27:17 PM","19/01/2015 03:27:17 PM","T","IODI010493","Iodine","UG_P_100G","100","1","PDR_INFANT","621","T","TM448277","2015012598","IODI01-15-0010","TMI"
"7006995","20/01/2015 09:16:17 AM","20/01/2015 09:16:17 AM","T","IODI010493","Iodine","UG_P_100G","145","1","PDR_INFANT","MG80","T","MG3669","7240525","IODI01-15-0011","MG"
"7007080","20/01/2015 09:18:32 AM","20/01/2015 09:18:32 AM","T","IODI010493","Iodine","UG_P_100G","160","1","PDR_INFANT","MG80","T","MG3669","7240526","IODI01-15-0011","MG"
"7007089","20/01/2015 09:20:38 AM","20/01/2015 09:20:38 AM","T","IODI010493","Iodine","UG_P_100G","135","1","PDR_INFANT","MG80","T","MG3669","7240527","IODI01-15-0011","MG"
"7007389","20/01/2015 10:10:51 AM","20/01/2015 10:10:51 AM","T","IODI010493","Iodine","UG_P_100G","155","1","PDR_SMP","MG60","T","MG4637","7240707","IODI01-15-0010","MG"
"7008571","20/01/2015 12:52:04 PM","20/01/2015 12:52:04 PM","T","IODI010493","Iodine","UG_P_100G","125","1","PDR_INFANT","MG80","T","MG3698","7240997","IODI01-15-0010","MG"
"7009747","20/01/2015 04:12:36 PM","20/01/2015 04:12:36 PM","T","IODI010493","Iodine","UG_P_100G","205","1","PDR_INFANT","MG80","F","MG3669","7241107","IODI01-15-0010","MG"
"7009757","20/01/2015 04:14:52 PM","20/01/2015 04:14:52 PM","T","IODI010493","Iodine","UG_P_100G","160","1","PDR_INFANT","MG80","T","MG3669","7241108","IODI01-15-0010","MG"
"7009774","20/01/2015 04:17:03 PM","20/01/2015 04:17:03 PM","T","IODI010493","Iodine","UG_P_100G","180","1","PDR_INFANT","MG80","T","MG3669","7241109","IODI01-15-0010","MG"
"7010238","20/01/2015 05:31:53 PM","20/01/2015 05:31:53 PM","T","IODI010493","Iodine","UG_P_100G","275","1","FATS_OILS","C25","T","7007","","IODI01-15-0014","C25"
"7011577","21/01/2015 09:22:09 AM","21/01/2015 09:22:09 AM","T","IODI010493","Iodine","UG_P_100G","100","1","PDR_INFANT","MG80","T","MG3698","7241862","IODI01-15-0011","MG"
"7011793","21/01/2015 09:40:09 AM","21/01/2015 09:40:09 AM","T","IODI010493","Iodine","UG_P_100G","115","1","PDR_INFANT","MG80","T","MG3698","7242001","IODI01-15-0011","MG"
"7012164","21/01/2015 10:42:29 AM","21/01/2015 10:42:29 AM","T","IODI010493","Iodine","UG_P_100G","150","1","PDR_SMP","MG60","T","MG4637","7242088","IODI01-15-0011","MG"
"7012290","21/01/2015 10:54:26 AM","21/01/2015 10:54:26 AM","T","IODI010493","Iodine","UG_P_100G","115","1","PDR_INFANT","MG80","T","MG3698","7242160","IODI01-15-0011","MG"
"7012555","21/01/2015 12:00:00 AM","21/01/2015 12:00:00 AM","T","IODI010493","Iodine","UG_P_100G","60","1","PDR_INFANT","621","T","TM270","2015013106","IODI01-15-0011","TMI"
"7013136","21/01/2015 12:50:03 PM","21/01/2015 12:50:03 PM","T","IODI010493","Iodine","UG_P_100G","180","1","PDR_INFANT","MG80","T","MG3669","7242429","IODI01-15-0011","MG"
"7013149","21/01/2015 12:52:15 PM","21/01/2015 12:52:15 PM","T","IODI010493","Iodine","UG_P_100G","145","1","PDR_INFANT","MG80","T","MG3669","7242430","IODI01-15-0011","MG"
"7013166","21/01/2015 12:54:22 PM","21/01/2015 12:54:22 PM","T","IODI010493","Iodine","UG_P_100G","140","1","PDR_INFANT","MG80","T","MG3669","7242431","IODI01-15-0011","MG"
"7014147","21/01/2015 03:32:05 PM","21/01/2015 03:32:05 PM","T","IODI010493","Iodine","UG_P_100G","20","1","PET_FOOD","U4","T","WETPETFD","","IODI01-15-0010","MARS"
"7014187","21/01/2015 03:33:58 PM","21/01/2015 03:33:58 PM","T","IODI010493","Iodine","UG_P_100G","20","1","PET_FOOD","U4","T","WETPETFD","","IODI01-15-0010","MARS"
"7014992","21/01/2015 12:00:00 AM","21/01/2015 12:00:00 AM","T","IODI010493","Iodine","UG_P_100G","160","1","PDR_INFANT","621","T","TM446232","2015013699","IODI01-15-0011","TMI"
"7015080","22/01/2015 12:00:00 AM","22/01/2015 12:00:00 AM","T","IODI010493","Iodine","UG_P_100G","165","1","PDR_INFANT","621","T","TM446232","2015013767","IODI01-15-0011","TMI"
"7015284","22/01/2015 07:50:50 AM","22/01/2015 07:50:50 AM","T","IODI010493","Iodine","UG_P_100G","127","1","QC","","T","SRM","SRM","IODI01-15-0010","IRM001A"
"7015579","22/01/2015 08:41:40 AM","22/01/2015 08:41:40 AM","T","IODI010493","Iodine","UG_P_100G","191","1","QC","","T","SRM","SRM","IODI01-15-0010","SRM38E"
"7015850","22/01/2015 12:00:00 AM","22/01/2015 12:00:00 AM","T","IODI010493","Iodine","UG_P_100G","100","1","PDR_INFANT","621","T","TM270","2015013126","IODI01-15-0012","TMI"
"7016089","22/01/2015 10:03:26 AM","22/01/2015 10:03:26 AM","T","IODI010493","Iodine","UG_P_100G","170","1","PDR_SMP","MG60","T","MG4637","7243011","IODI01-15-0011","MG"
"7017203","22/01/2015 12:36:06 PM","22/01/2015 12:36:06 PM","T","IODI010493","Iodine","UG_P_100G","240","1","MISC_PROD","BONDEP","F","EAP00504","000800350621-0010","IODI01-15-0012","FA"
